scheme_code,return_3yr
120075,56.84
120077,36.5
120050,66.01
120011,24.8
120095,19.97
120028,91.91
120070,11.08
120041,51.09
120016,22.86
120068,4.85
120099,4.57
120048,18.35
120056,86.81
120064,28.97
120059,95.1
120090,58.58
120062,44.22
120076,58.43
120011,52.15
120089,76.12
120018,28.97
120019,35.95
120087,89.52
120055,94.7
120082,89.36
120026,42.53
120006,78.26
120004,48.16
120029,50.26
120059,21.26
120098,59.52
120017,19.43
120043,33.82
120080,85.65
120066,21.5
120034,8.04
120008,7.83
120013,94.14
120008,51.19
120094,41.53
120096,81.28
120100,83.75
120094,33.89
120065,69.67
120043,77.34
120039,65.81
120081,16.01
120059,87.71
120084,54.37
120088,28.96
120086,43.1
120093,4.72
120086,13.66
120044,76.79
120009,1.0
120037,42.24
120074,52.73
120036,6.41
120092,97.33
120028,23.39
120042,31.12
120043,31.09
120085,23.81
120088,1.15
120042,73.21
120066,96.72
120055,23.21
120072,66.64
120048,74.45
120091,84.99
120022,42.84
120027,30.99
120093,33.2
120067,71.55
120013,81.86
120045,18.98
120010,37.72
120100,90.29
120009,80.86
120054,98.5
120027,75.67
120034,39.93
120001,59.47
120032,66.44
120089,8.77
120093,54.91
120071,71.22
120067,17.56
120084,78.28
120020,58.79
120094,95.27
120035,5.2
120099,27.27
120091,60.55
120090,30.36
120078,71.73
120017,76.14
120018,11.15
120045,51.87
120093,51.38
